Sender,Recipient,Timestamp,Content
emp007,external@unknown.net,2025-01-03 23:00:00,Can you send me the client list?
emp020,user@company.com,2025-01-03 19:00:00,Please approve this request.
emp015,user@company.com,2025-01-04 16:00:00,Here's the payroll data.
emp011,external@external.org,2025-01-06 19:00:00,Urgent: Send the data file!
emp008,external@unknown.net,2025-01-04 06:00:00,Please approve this request.
emp007,external@unknown.net,2025-01-03 02:00:00,Can you send me the client list?
emp019,external@example.com,2025-01-03 04:00:00,Here's the payroll data.
emp011,external@unknown.net,2025-01-03 23:00:00,Please approve this request.
emp011,external@example.com,2025-01-04 16:00:00,Here's the payroll data.
emp004,external@unknown.net,2025-01-06 01:00:00,Please approve this request.
emp008,external@external.org,2025-01-09 21:00:00,Here's the payroll data.
emp003,external@unknown.net,2025-01-03 04:00:00,Can you send me the client list?
emp002,external@example.com,2025-01-05 00:00:00,Urgent: Send the data file!
emp012,external@example.com,2025-01-07 01:00:00,Can you send me the client list?
emp006,external@external.org,2025-01-04 11:00:00,Urgent: Send the data file!
emp002,external@unknown.net,2025-01-09 05:00:00,Here's the payroll data.
emp001,external@unknown.net,2025-01-09 03:00:00,Please approve this request.
emp012,external@external.org,2025-01-05 10:00:00,Can you send me the client list?
emp012,external@unknown.net,2025-01-09 16:00:00,Urgent: Send the data file!
emp017,external@unknown.net,2025-01-07 05:00:00,Can you send me the client list?
emp010,external@example.com,2025-01-04 19:00:00,Urgent: Send the data file!
emp016,external@unknown.net,2025-01-08 05:00:00,Can you send me the client list?
emp015,external@unknown.net,2025-01-09 10:00:00,Urgent: Send the data file!
emp015,external@external.org,2025-01-03 15:00:00,Urgent: Send the data file!
emp019,external@external.org,2025-01-06 08:00:00,Here's the payroll data.
emp012,user@company.com,2025-01-07 05:00:00,Urgent: Send the data file!
emp020,external@example.com,2025-01-06 02:00:00,Here's the payroll data.
emp003,external@unknown.net,2025-01-05 03:00:00,Urgent: Send the data file!
emp005,external@unknown.net,2025-01-09 02:00:00,Please approve this request.
emp019,user@company.com,2025-01-06 18:00:00,Please approve this request.
emp007,external@unknown.net,2025-01-06 06:00:00,Please approve this request.
emp009,external@example.com,2025-01-03 08:00:00,Urgent: Send the data file!
emp007,user@company.com,2025-01-09 07:00:00,Here's the payroll data.
emp018,external@example.com,2025-01-03 17:00:00,Here's the payroll data.
emp004,user@company.com,2025-01-06 10:00:00,Urgent: Send the data file!
emp014,user@company.com,2025-01-09 17:00:00,Please approve this request.
emp018,external@external.org,2025-01-05 09:00:00,Please approve this request.
emp009,external@example.com,2025-01-06 06:00:00,Here's the payroll data.
emp002,external@unknown.net,2025-01-04 15:00:00,Please approve this request.
emp020,external@unknown.net,2025-01-03 15:00:00,Can you send me the client list?
emp015,external@example.com,2025-01-06 19:00:00,Here's the payroll data.
emp007,external@unknown.net,2025-01-04 16:00:00,Please approve this request.
emp012,external@unknown.net,2025-01-08 00:00:00,Here's the payroll data.
emp008,external@example.com,2025-01-07 11:00:00,Can you send me the client list?
emp015,user@company.com,2025-01-05 04:00:00,Here's the payroll data.
emp003,external@example.com,2025-01-03 22:00:00,Here's the payroll data.
emp014,user@company.com,2025-01-05 08:00:00,Here's the payroll data.
emp017,external@unknown.net,2025-01-05 18:00:00,Here's the payroll data.
emp004,external@unknown.net,2025-01-08 19:00:00,Can you send me the client list?
emp018,external@unknown.net,2025-01-03 23:00:00,Urgent: Send the data file!
emp008,external@external.org,2025-01-06 23:00:00,Here's the payroll data.
emp004,user@company.com,2025-01-03 10:00:00,Here's the payroll data.
emp002,external@external.org,2025-01-06 07:00:00,Please approve this request.
emp006,external@external.org,2025-01-06 05:00:00,Here's the payroll data.
emp010,external@example.com,2025-01-08 02:00:00,Please approve this request.
emp004,external@external.org,2025-01-03 02:00:00,Urgent: Send the data file!
emp018,external@example.com,2025-01-08 17:00:00,Can you send me the client list?
emp012,external@example.com,2025-01-04 17:00:00,Can you send me the client list?
emp002,external@external.org,2025-01-05 21:00:00,Urgent: Send the data file!
emp010,user@company.com,2025-01-07 15:00:00,Can you send me the client list?
emp004,user@company.com,2025-01-06 08:00:00,Urgent: Send the data file!
emp014,user@company.com,2025-01-06 00:00:00,Urgent: Send the data file!
emp016,user@company.com,2025-01-08 00:00:00,Urgent: Send the data file!
emp015,user@company.com,2025-01-06 20:00:00,Can you send me the client list?
emp008,external@external.org,2025-01-09 23:00:00,Please approve this request.
emp014,external@external.org,2025-01-03 02:00:00,Urgent: Send the data file!
emp008,external@unknown.net,2025-01-06 00:00:00,Here's the payroll data.
emp016,user@company.com,2025-01-08 18:00:00,Can you send me the client list?
emp013,external@external.org,2025-01-08 22:00:00,Urgent: Send the data file!
emp018,external@unknown.net,2025-01-08 13:00:00,Urgent: Send the data file!
emp015,user@company.com,2025-01-08 05:00:00,Here's the payroll data.
emp013,external@example.com,2025-01-05 12:00:00,Please approve this request.
emp009,external@unknown.net,2025-01-05 21:00:00,Please approve this request.
emp015,external@external.org,2025-01-07 01:00:00,Please approve this request.
emp013,external@example.com,2025-01-06 00:00:00,Urgent: Send the data file!
emp001,external@example.com,2025-01-03 14:00:00,Urgent: Send the data file!
emp007,external@example.com,2025-01-06 04:00:00,Urgent: Send the data file!
emp009,external@unknown.net,2025-01-05 15:00:00,Can you send me the client list?
emp001,external@external.org,2025-01-05 03:00:00,Here's the payroll data.
emp012,external@example.com,2025-01-03 16:00:00,Urgent: Send the data file!
emp008,user@company.com,2025-01-06 11:00:00,Here's the payroll data.
emp011,external@example.com,2025-01-07 13:00:00,Here's the payroll data.
emp019,external@example.com,2025-01-05 05:00:00,Please approve this request.
emp017,external@unknown.net,2025-01-07 08:00:00,Can you send me the client list?
emp008,external@unknown.net,2025-01-07 23:00:00,Urgent: Send the data file!
emp003,external@external.org,2025-01-08 16:00:00,Please approve this request.
emp003,user@company.com,2025-01-09 20:00:00,Please approve this request.
